카테고리이름,노출횟수
한식,43883
음식점,39325
"카페,디저트",24599
술집,11234
"육류,고기요리",8731
일식,8702
카페,7635
"치킨,닭강정",7059
분식,6341
중식,5602
중식당,4736
양식,4002
베이커리,3773
"곱창,막창,양",3329
돼지고기구이,3247
"맥주,호프",3026
일식당,2944
피자,2618
"족발,보쌈",2538
요리주점,2532
이탈리아음식,2527
생선회,2525
이자카야,1859
"해물,생선요리",1814
"초밥,롤",1808
돈가스,1759
종합분식,1683
"칼국수,만두",1656
소고기구이,1536
"찌개,전골",1333
햄버거,1330
포장마차,1242
떡볶이,1236
"순대,순댓국",1148
냉면,1048
베트남음식,1035
바(BAR),1004
국수,908
"스파게티,파스타전문",895
"도시락,컵밥",848
와인,842
닭갈비,839
양꼬치,822
감자탕,782
샌드위치,722
샤브샤브,679
"백숙,삼계탕",671
김밥,667
"장어,먹장어요리",627
닭발,615
"아귀찜,해물찜",611
국밥,600
주꾸미요리,583
"곰탕,설렁탕",573
브런치,569
케이크전문,567
죽,545
"백반,가정식",542
한정식,527
일본식라면,501
아이스크림,487
"우동,소바",480
테이크아웃커피,470
오리요리,453
닭요리,439
정육식당,420
뷔페,420
낙지요리,409
찜닭,405
"다이어트,샐러드",396
태국음식,379
"스테이크,립",374
"전,빈대떡",357
퓨전음식,330
추어탕,319
패밀리레스토랑,309
두부요리,305
막국수,304
닭볶음탕,300
해장국,297
"전통,민속주점",296
조개요리,285
빙수,285
"멕시코,남미음식",281
"매운탕,해물탕",269
"오뎅,꼬치",267
아시아음식,256
차,248
덮밥,246
와플,239
핫도그,236
인도음식,234
카레,229
도넛,226
생선구이,220
"과일,주스전문점",212
만두,211
북카페,196
한식뷔페,190
"사철,영양탕",188
프랑스음식,181
쌈밥,168
야식,149
게요리,131
기사식당,131
보리밥,129
복어요리,128
오징어요리,127
대게요리,121
고기뷔페,119
양갈비,100
"일식,초밥뷔페",96
스페인음식,94
"일식튀김,꼬치",92
"딤섬,중식만두",89
토스트,80
갈비탕,76
스터디카페,65
홍차전문점,58
라이브카페,52
베이글,50
다방,47
해산물뷔페,45
비빔밥,45
바닷가재요리,40
유흥주점,39
단란주점,39
굴요리,38
호두과자,36
남도분식,32
떡카페,30
독일음식,28
푸드코트,27
72420,27
스파게티스토리,26
일도씨닭갈비,26
블루보틀,26
호떡,25
고기원칙,24
라면,24
신의주부대찌개,22
킹크랩요리,21
향토음식,20
전복요리,20
미스터빠삭,20
이북음식,19
스마일명품찹쌀꽈배기,19
"쇼핑,유통",18
바나프레소,17
밀도,17
대반전,17
만년닭강정,16
불타는여고24시떡볶이,16
아부찌부대찌개,16
"채식,샐러드뷔페",15
신룽푸마라탕,15
스마일찹쌀꽈배기,14
크레페,14
터키음식,14
101번지남산돈까스,13
갤러리카페,12
쌀똑핫도그,12
오므라이스,12
민혁이네외국포차,12
한방카페,12
전통식품,11
"떡,한과",11
33떡볶이,11
문래돼지불백,11
달빛오징어광어,10
불닭,10
족황상제,10
인정국물떡볶이,10
제조업,9
심야오뎅,9
일점사,9
잔잔,9
고양이카페,9
THE달달,9
24시프리카페,9
오니기리,8
화덕고깃간,8
기업,8
프랜차이즈본사,8
애견카페,8
시골한우시골돼지,8
밀겨울,7
바로그집,7
닭장수후라이드,7
바르바커피,7
애솔촌돼지,7
강화통통생고기,7
안경할머니곱창,7
장수한우곱창,7
푸드트럭,7
주먹밥,6
커피번,6
이흥용과자점,6
그리스음식,5
일품향,5
사찰음식,5
일공공키친,5
달쫀,5
달떡볶이,5
바른식탁,5
자연담은화로,5
갈비배달도시락스트릿테이블,5
초콜릿전문점,5
문스갈비,4
135튀김집,4
잇또라멘,4
고기한끼,4
과자류제조,4
자연식빵,4
후렌치후라이,4
일초닭발,4
24시전주콩나물국밥,4
개성집,4
아경면선,4
신복관,4
신사골옛날감자탕,3
미인닭발,3
강남맥주,3
바른생갈비,3
게이트나인,3
101커피컨테이너,3
얌얌식빵,3
무한장어,3
고고즉석떡볶이,3
슈,3
JVL부대찌개,3
바비큐BOX,3
슈퍼통닭,3
고레카레,3
"우유,유제품",3
"생활,편의",3
달려라달봉이떡볶이,3
"차,커피",3
바람부리명태찜,3
바사칸동네치킨,3
반찬가게,3
"커피가공,제조",2
달봉이치킨,2
북문로떡볶이,2
미친노가리,2
문어부인삼교비,2
개성진찹쌀순대,2
애플김밥,2
문배동육칼,2
대구근대골목단팥빵,2
장수통닭,2
찐빵,2
달볶이,2
미스포,2
플라워카페,2
"서비스,산업",2
여행사,2
세탁,2
셀프빨래방,2
일석삼조버섯매운탕,2
"꽃집,꽃배달",2
대구형제막창,2
바른생활샌드위치,2
반려동물,2
반려동물미용,2
"육류가공,제조",2
신떡순신천할매떡볶이,2
서점,2
테마카페,2
자전거,1
"도서,음반,문구",1
"문구,팬시용품",1
가리미김밥,1
1도씨맥주,1
장어야놀자,1
빵류제조,1
인근주민,1
음료,1
대게나라,1
가공식품,1
45년의정부부대찌개,1
자매떡볶이,1
무통삼,1
바른스시,1
292짬떡,1
압구정본가불닭발,1
"연애,결혼",1
예식장,1
슬라임카페,1
밀크밥버거,1
미친양꼬치,1
닭발먹은새우,1
정육점,1
장미찜닭,1
"문화,예술",1
"갤러리,화랑",1
닭,1
스푼떡볶이,1
가구,1
아메리칸존슨,1
공방,1
"여행,명소",1
"문화,유적",1
주방용품,1
